职位名,公司名,工作地点,薪资,发布时间
急招高级Java开发工程师10-20k,深圳华云未来科技有限公司,深圳,1.5-2万/月,05-19
资深Java开发工程师,深圳市智慧天下网络科技有限公司,深圳-龙岗区,0.8-2万/月,05-19
Java开发工程师,深圳市前海房极客网络科技有限公司,深圳-南山区,1.2-2万/月,05-19
JAVA教员,深圳恩颂科技开发有限公司,深圳-宝安区,0.8-1万/月,05-19
Java开发工程师(成都高新区）,深圳市微网力合信息技术有限公司,异地招聘,1.5-2万/月,05-19
JAVA 工程师,深圳市赛飞奇光子技术有限公司,深圳,7-9千/月,05-19
Java开发工程师（赴日）,山东威林科电子工程有限公司,异地招聘,1.5-4.5万/月,05-19
java开发工程师（车厘子）,深圳市城市投资发展（集团）有限公司,深圳-福田区,1.1-2.5万/月,05-19
Java高级开发工程师,深圳市深港机动车驾驶培训集团有限公司,深圳-福田区,1.3-1.8万/月,05-19
Java开发工程师,深圳美云集网络科技有限责任公司,深圳-龙岗区,0.5-1万/月,05-19
Java开发工程师,深圳仕航网络技术有限公司,深圳-南山区,1-2万/月,05-19
Java高级开发工程师,深圳市盈合数字技术有限公司,深圳-南山区,2-3万/月,05-19
Java+大数据,深圳融天云科软件技术有限公司,深圳-南山区,1-1.5万/月,05-19
高级JAVA工程师,深圳百泰投资控股集团有限公司,深圳,1.5-2万/月,05-19
Java开发工程师,深圳市茂拓壹科技有限公司,深圳-南山区,1-1.5万/月,05-19
Java 高级工程师,深圳市智莱科技股份有限公司,深圳-南山区,1-1.5万/月,05-19
Java开发工程师（中高级）,深圳前海橙色魔方信息技术有限公司,深圳-南山区,1-1.6万/月,05-19
Java开发工程师,深圳市艾美依科技有限公司,深圳-福田区,1-1.5万/月,05-19
高级Java开发工程师,深圳市同为数码科技股份有限公司,深圳-南山区,1.5-2.5万/月,05-19
java游戏开发,深圳市肃羽科技有限公司,深圳,1-1.5万/月,05-19
JAVA软件开发工程师&C#软件开发工程师,富士康IT中原资讯总处,深圳,0.8-1.5万/月,05-19
java高级工程师,深圳市天下房仓科技有限公司,深圳,1-2万/月,05-19
Java工程师,广东巨细信息科技有限公司,异地招聘,1-1.5万/月,05-19
Java开发工程师,南宁肥鸽网信息科技有限公司深圳分公司,深圳-龙华新区,0.8-1.5万/月,05-19
